model_url,specifications
https://www.mpb.com/en-eu/product/sony-pxw-fx3,"{'Weight (Grams)': '715', 'Megapixels': '12.1', 'Maximum Video Resolution': '3840×2160 (4K UHD)', 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Built-In Wi-Fi': True, 'Sensor Format': '1/2.3 Inch', 'Sensor Type': 'BSI-CMOS', 'Lens Mount': 'Sony E', 'Storage Media Type': 'SD / SDHC / SDXC', 'File Format': 'JPEG + RAW', 'Year of release': '2013'}"
https://www.mpb.com/en-eu/product/canon-ef-m-15-45mm-f-3-5-6-3-is-stm,"{'Minimum Focus Distance (m)': '0.25', 'Filter Thread (mm)': '49', 'Maximum Aperture - Tele (f)': '6.3', 'Aperture Blades': '7', 'Maximum Aperture - Wide (f)': '3.5', 'Year of release': '2015', 'Lens Mount': 'Canon EF-M', 'Image Stabilisation': True, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '130'}"
https://www.mpb.com/en-eu/product/canon-eos-m50-ii,"{'Built-In Bluetooth': True, 'Microphone Jack': True, 'Max FPS Max resolution': '1280×720 (HD)', 'Maximum Frames Per Second': '10', 'USB Port Type': 'Micro B 2.0', 'Weight (Grams)': '387', 'File Format': 'JPEG + RAW', 'Touchscreen': True, 'HDMI Port': True, 'Lens Mount': 'Canon EF-M', 'Minimum ISO': '100', 'Camera Type': 'Mirrorless', 'Storage Media Type': 'SD / SDHC / SDXC', 'LCD Resolution (Pixels)': '1040000', 'Headphone Jack': False, 'Viewfinder Type': 'Electronic', 'Maximum Video Frame Rate (FPS)': '120', 'Year of release': '2021', 'Articulating LCD Screen': True, 'Shutter Rating (Life)': '100000', 'Megapixels': '24.2', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '25600', 'Maximum Video Resolution': '3840×2160 (4K UHD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': True, 'LCD Size (Inches)': '3', 'Built-In Flash': True, 'Sensor Format': 'APS-C', 'Maximum Shutter Speed (1/) [Seconds]': '1/4000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '99', 'Flash Compatibility': 'Canon TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/sigma-17-70mm-f-2-8-4-dc-macro-hsm-sony-a-fit,{'Year of release': '2013'}
https://www.mpb.com/en-eu/product/canon-eos-5d-mark-iii,"{'Built-In Bluetooth': False, 'Microphone Jack': True, 'Max FPS Max resolution': '1280×720 (HD)', 'Maximum Frames Per Second': '6', 'USB Port Type': 'Mini type B 2.0', 'Weight (Grams)': '860', 'File Format': 'JPEG + RAW', 'Touchscreen': False, 'HDMI Port': True, 'Lens Mount': 'Canon EF', 'Minimum ISO': '50', 'Camera Type': 'Digital SLR', 'Storage Media Type': 'SD & CompactFlash', 'LCD Resolution (Pixels)': '1040000', 'Headphone Jack': True, 'Viewfinder Type': 'Optical', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2012', 'Articulating LCD Screen': False, 'Shutter Rating (Life)': '150000', 'Megapixels': '22.3', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '102400', 'Maximum Video Resolution': '1920×1080 (Full HD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': False, 'LCD Size (Inches)': '3.2', 'Built-In Flash': False, 'Sensor Format': 'Full Frame', 'Maximum Shutter Speed (1/) [Seconds]': '1/8000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '61', 'Flash Compatibility': 'Canon TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/hoya-72mm-hd-uv-filter,{'Weight (Grams)': '90'}
https://www.mpb.com/en-eu/product/samyang-mf-14mm-f2f28-mk2-canon-ef-m-fit,"{'Weight (Grams)': '695', 'Lens Mount': 'Canon EF-M', 'Minimum Aperture (F)': '22', 'Maximum Aperture - Wide (f)': '2.8', 'Maximum Aperture - Tele (f)': '2.8', 'Minimum Focus Distance (m)': '0.28', 'Aperture Blades': '9', 'Year of release': '2020'}"
https://www.mpb.com/en-eu/product/nikon-d500,"{'Built-In Bluetooth': True, 'Microphone Jack': True, 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Maximum Frames Per Second': '10', 'USB Port Type': 'Micro B 3.0', 'Weight (Grams)': '856', 'File Format': 'JPEG + RAW + TIFF', 'Touchscreen': True, 'HDMI Port': True, 'Lens Mount': 'Nikon FX', 'Minimum ISO': '100', 'Camera Type': 'Digital SLR', 'Storage Media Type': 'SD / SDHC / SDXC & XQD', 'LCD Resolution (Pixels)': '2539000', 'Headphone Jack': True, 'Viewfinder Type': 'Optical', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2016', 'Articulating LCD Screen': True, 'Shutter Rating (Life)': '200000', 'Megapixels': '20.9', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '51200', 'Maximum Video Resolution': '3840×2160 (4K UHD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': True, 'LCD Size (Inches)': '3.2', 'Built-In Flash': False, 'Sensor Format': 'APS-C', 'Maximum Shutter Speed (1/) [Seconds]': '1/8000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '153', 'Flash Compatibility': 'Nikon i-TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/tamron-sp-150-600mm-f-5-6-3-di-vc-usd-nikon-fit,"{'Minimum Focus Distance (m)': '2.7', 'Filter Thread (mm)': '95', 'Maximum Aperture - Tele (f)': '6.3', 'Aperture Blades': '9', 'Maximum Aperture - Wide (f)': '5', 'Year of release': '2014', 'Lens Mount': 'Nikon FX', 'Image Stabilisation': True, 'Minimum Aperture (F)': '32', 'Auto Focus': True, 'Weight (Grams)': '1900'}"
https://www.mpb.com/en-eu/product/tokina-11-16mm-f-2-8-at-x-pro-dx-ii-nikon-fit,"{'Minimum Focus Distance (m)': '0.3', 'Filter Thread (mm)': '77', 'Maximum Aperture - Tele (f)': '2.8', 'Aperture Blades': '9', 'Maximum Aperture - Wide (f)': '2.8', 'Year of release': '2012', 'Lens Mount': 'Nikon DX', 'Image Stabilisation': False, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '550'}"
https://www.mpb.com/en-eu/product/canon-ef-70-300mm-f-4-5-6-is-usm,"{'Minimum Focus Distance (m)': '1.5', 'Filter Thread (mm)': '58', 'Maximum Aperture - Tele (f)': '5.6', 'Aperture Blades': '8', 'Maximum Aperture - Wide (f)': '4', 'Year of release': '2005', 'Lens Mount': 'Canon EF', 'Image Stabilisation': True, 'Minimum Aperture (F)': '32', 'Auto Focus': True, 'Weight (Grams)': '630'}"
https://www.mpb.com/en-eu/product/canon-speedlite-430ex-ii,"{'Year of release': '2013', 'Swivel Head': True, 'Flash Coverage (Metres)': '24-105', 'Maximum Guide Number': '43', 'Flash Compatibility': 'Canon TTL', 'Weight (Grams)': '330'}"
https://www.mpb.com/en-eu/product/canon-powershot-g5-x,"{'Built-In Bluetooth': False, 'Microphone Jack': False, 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Maximum Frames Per Second': '7.6', 'USB Port Type': 'Mini type B 2.0', 'Weight (Grams)': '377', 'File Format': 'JPEG + RAW', 'Touchscreen': True, 'HDMI Port': True, 'Minimum ISO': '125', 'Camera Type': 'Compact', 'Storage Media Type': 'SD / SDHC / SDXC', 'LCD Resolution (Pixels)': '1040000', 'Headphone Jack': False, 'Viewfinder Type': 'Electronic', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2015', 'Articulating LCD Screen': True, 'Megapixels': '20.2', 'Integrated cleaning': False, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Optical Zoom (X)': '4', 'Maximum ISO': '12800', 'Maximum Video Resolution': '1920×1080 (Full HD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': True, 'LCD Size (Inches)': '3', 'Built-In Flash': True, 'Sensor Format': '1.0 Inch', 'Maximum Shutter Speed (1/) [Seconds]': '1/2000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '31', 'Flash Compatibility': 'Canon TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/fujifilm-xf-16-50mm-f28-48-r-lm-wr,"{'Weight (Grams)': '240', 'Lens Mount': 'Fujifilm G', 'Minimum Aperture (F)': '22', 'Maximum Aperture - Wide (f)': '2.8', 'Maximum Aperture - Tele (f)': '4.8', 'Filter Thread (mm)': '58', 'Minimum Focus Distance (m)': '0.24', 'Aperture Blades': '9', 'Year of release': '2024'}"
https://www.mpb.com/en-eu/product/fujifilm-xf-18mm-f-2-r,"{'Minimum Focus Distance (m)': '0.18', 'Filter Thread (mm)': '52', 'Maximum Aperture - Tele (f)': '2', 'Aperture Blades': '7', 'Maximum Aperture - Wide (f)': '2', 'Year of release': '2012', 'Lens Mount': 'Fujifilm X', 'Image Stabilisation': False, 'Minimum Aperture (F)': '16', 'Auto Focus': True, 'Weight (Grams)': '116'}"
https://www.mpb.com/en-eu/product/panasonic-lumix-s-18-40-f-45-63,"{'Weight (Grams)': '155', 'Lens Mount': 'Leica L', 'Auto Focus': True, 'Filter Thread (mm)': '62', 'Minimum Aperture (F)': '32', 'Maximum Aperture - Wide (f)': '4.5', 'Maximum Aperture - Tele (f)': '6.3', 'Year of release': '2024'}"
https://www.mpb.com/en-eu/product/dji-mini-2,"{'Maximum Video Frame Rate (FPS)': '60', 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Year of release': '2020', 'Minimum ISO': '100', 'Megapixels': '12', 'Storage Media Type': 'Micro SD', 'Maximum ISO': '3200', 'Maximum Video Resolution': '3840×2160 (4K UHD)', 'Gimbal Type': '3-Axis Gimbal', 'Weight (Grams)': '249'}"
