sku,notes
3423927,
3425892,
3432638,
3502117,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3502016,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3498945,
3415979,
3495526,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3499454,
3499177,
3495062,
3494354,
3514570,
3499010,
3502309,
3499372,
3491919,
3499599,
3512141,
3512237,
3505055,"De instelschijf is stijg, maar is nog steeds functioneel"
3513975,
3498848,
3510717,
3498895,
3498964,
3491599,
3499414,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3518076,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3499247,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3499158,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3498803,
3515365,
3506477,
3502003,
3501583,
3494372,
3499217,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3464775,
3465117,
3457113,
3464356,"De rubberen greep vertoont aanzienlijke slijtage, maar dit heeft geen invloed op de werking."
3457116,
3465113,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3464379,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3467539,
3465055,
3461395,
3475622,
3465045,
3480957,
3467248,
3475160,
3478028,"De interne lens heeft wat schimmel, maar dit heeft geen invloed op de werking."
3467122,
3474924,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3467351,
3478363,
3470191,
3477769,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3470052,
3470236,
3465035,
3470105,
3190415,
3467160,
3478364,
3467469,
3480661,
3470324,
3467902,
3464261,
3481263,
3457151,
3461453,
3432664,
3425643,
3424554,
3409467,
3432641,
3425606,
3423598,
3426060,
3420899,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3421710,
3423548,
3424636,
3426534,
3337812,"Eén geheugenkaartsleuf is defect, maar de andere werkt volledig."
3425831,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3424522,
3423297,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3391655,
3426893,
3426481,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3425665,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3430022,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3425570,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3421753,
3376712,
3397349,
3501812,
3382263,
3501964,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3499352,
3515506,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3494851,
3494406,
3499329,
3502427,
3505523,
3502116,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3499168,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3499170,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3502118,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3494731,
3502518,
3504711,
3502524,
3467989,
3494976,
3453780,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3513863,
3514394,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3504421,
3502443,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3510433,
3700149,
3666500,
3703755,
3697663,
2455416,
3433102,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3447508,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3450749,
3476016,
3475042,
3483115,
3478279,
3491140,
3477844,"Een deel van de beschermende coating van het LCD-scherm is losgekomen, maar dit heeft geen invloed op de werking."
3361291,
3361290,
3403299,
3478592,
3491687,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3305871,
3476077,
3477849,
3477847,
3478223,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3467886,
3477859,
3475660,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3478594,
3480507,
3476067,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3478165,
3412730,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3481064,
3478341,
3478306,
3473578,
3475531,
3480736,
3478584,
3490660,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3494192,
3477979,
3487124,
3478050,
3494145,
3475654,
3537945,
3636847,
3672900,
3702784,
3698115,
3703352,
3700147,
3700334,
3698116,
3697881,
3709443,
3709461,
3703349,
3694741,
3703374,
3709441,
3712596,
3697905,
3702855,
3700221,
3694743,
3714305,
3700455,
3694795,
3709440,
3702865,
3700396,
3547009,
3694744,"Het batterijvak heeft een lichte hoeveelheid corrosie, maar dit heeft geen invloed op de functionaliteit."
3700220,
3698105,
3694392,
3697976,
3709001,
3700398,
3699757,
3547012,
3698104,
3694745,
3703774,
3709002,
3694386,
3697975,
3712590,
3700015,
3697521,
3699759,
3547013,
3694407,
3709005,
3703775,
3700426,
3700356,
3547015,
3684493,
3703776,
3694388,
3700493,
3697955,
3700357,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3703777,
3698122,
3709004,
3694393,
3697956,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3672133,
3682539,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3714308,
3694400,
3700550,
3703782,
3698123,
3697957,
3700582,
3697404,
3675389,
3700237,
3681634,
3694401,
3703419,
3698089,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3700779,
3714316,
3698126,"Er zit vocht op de interne lens, maar de beeldkwaliteit is niet aangetast."
3663183,
3702845,
3694658,
3700520,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3685166,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking., De zoomring beweegt ongelijkmatig."
3663184,
3705203,
3703351,
3697820,
3694659,
3688701,
3700721,
3684745,
3697344,
3708999,
3702945,
3560680,
3714089,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3703156,
3651856,
3703684,
3702801,
2455415,
3300533,
3297217,
3297083,
3409317,
3403611,
3409535,
3404082,
3410527,
3456821,
3453834,
3453166,
3453262,
3406831,
3409834,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3369610,
3456599,
3404317,
3456402,
